GCF_000149555.1	Fusarium verticillioides 7600
GCF_000151355.1	Fusarium vanettenii 77-13-4
GCF_000240135.3	Fusarium graminearum PH-1
GCF_000260195.1	Fusarium odoratissimum NRRL 54006
GCF_000303195.2	Fusarium pseudograminearum CS3096
GCF_003316985.1	Fusarium coffeatum
GCF_013085055.1	Fusarium oxysporum Fo47
GCF_013396075.1	Fusarium subglutinans
GCF_013396195.1	Fusarium tjaetaba
GCF_019609905.1	Fusarium poae
GCF_019915245.1	Fusarium musae
GCF_020744385.1	Fusarium flagelliforme
GCF_020744475.1	Fusarium redolens
GCF_020744495.1	Fusarium solani
GCF_025433545.1	Fusarium keratoplasticum
GCF_026873545.1	Fusarium falciforme
GCF_900007375.1	Fusarium venenatum
GCF_900044065.1	Fusarium mangiferae
GCF_900067095.1	Fusarium proliferatum ET1
GCF_900079805.1	Fusarium fujikuroi IMI 58289
